year,TotalUSDPrize,GameName
2010,27936,League of Legends
2011,536589,League of Legends
2012,4573123,League of Legends
2013,6585632,League of Legends
2014,7644374,League of Legends
2015,7537487,League of Legends
2016,10518781,League of Legends
2017,12422693,League of Legends
2018,14467700,League of Legends
2019,9787464,League of Legends
2020,8662356,League of Legends
2021,8169642,League of Legends
2022,8008740,League of Legends
2023,116324,League of Legends
2012,238732,Counter-Strike: Global Offensive
2013,1197819,Counter-Strike: Global Offensive
2014,2054292,Counter-Strike: Global Offensive
2015,6265906,Counter-Strike: Global Offensive
2016,17237298,Counter-Strike: Global Offensive
2017,20347875,Counter-Strike: Global Offensive
2018,22364899,Counter-Strike: Global Offensive
2019,23292254,Counter-Strike: Global Offensive
2020,16042511,Counter-Strike: Global Offensive
2021,20504244,Counter-Strike: Global Offensive
2022,16327234,Counter-Strike: Global Offensive
2023,1772719,Counter-Strike: Global Offensive
2011,1685967,Dota 2
2012,2136377,Dota 2
2013,4968779,Dota 2
2014,16392158,Dota 2
2015,31133031,Dota 2
2016,37137328,Dota 2
2017,38049051,Dota 2
2018,41679724,Dota 2
2019,47165540,Dota 2
2020,9945621,Dota 2
2021,49356650,Dota 2
2022,31349438,Dota 2
2023,2592656,Dota 2
2010,820756,StarCraft II
2011,3215131,StarCraft II
2012,4382886,StarCraft II
2013,3619999,StarCraft II
2014,3543186,StarCraft II
2015,2733610,StarCraft II
2016,3242905,StarCraft II
2017,3325665,StarCraft II
2018,3510259,StarCraft II
2019,3115233,StarCraft II
2020,2170757,StarCraft II
2021,1877007,StarCraft II
2022,2176813,StarCraft II
2023,555969,StarCraft II
2015,3320,Overwatch
2016,2134731,Overwatch
2017,3359928,Overwatch
2018,7591907,Overwatch
2019,8616086,Overwatch
2020,6838521,Overwatch
2021,5723056,Overwatch
2022,124434,Overwatch
