paises,cantidad,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estados Unidos,216,7,14,31,6,23,14,25,28,17,22,19,10
Chile,178,0,0,0,8,1,12,11,53,24,20,24,25
Corea del Sur,177,6,21,21,9,39,11,19,14,12,9,13,3
España,158,0,0,12,0,1,20,31,26,9,16,21,22
China,58,0,1,5,1,2,3,4,11,8,4,9,10
Reino Unido,44,0,0,0,1,1,5,6,4,0,1,24,2
México,33,0,0,3,0,1,1,0,2,2,18,3,3
Alemania,32,0,0,0,0,2,4,7,4,7,2,3,3
Japón,30,1,1,10,0,1,1,1,3,1,4,3,4
Francia,29,0,0,0,0,0,2,6,4,9,3,2,3
Argentina,25,0,0,0,0,0,2,8,1,1,5,8,0
Brasil,17,0,0,1,0,1,4,0,3,0,4,3,1
Suecia,13,1,0,1,0,1,1,2,2,1,2,1,1
Perú,11,0,0,0,0,0,0,1,6,0,2,2,0
Polonia,9,0,0,0,0,0,2,5,0,0,0,0,2
Canadá,7,0,1,1,0,0,2,0,0,0,1,1,1
Taiwan,6,0,5,0,1,0,0,0,0,0,0,0,0
Inglaterra,5,0,0,0,0,0,0,5,0,0,0,0,0
Uruguay,5,0,0,0,0,0,1,1,1,0,1,1,0
Singapur,5,0,0,0,1,0,3,0,1,0,0,0,0
Ecuador,4,0,0,0,0,0,0,0,1,0,2,1,0
Colombia,4,0,0,0,0,0,0,0,1,0,2,1,0
Paraguay,3,0,0,0,0,0,0,1,0,0,1,1,0
Estados unidos,3,0,0,0,1,0,0,0,0,0,2,0,0
Puerto Rico,3,0,0,0,0,0,3,0,0,0,0,0,0
Turquía,2,0,0,1,0,0,1,0,0,0,0,0,0
Venezuela,2,0,0,0,0,1,0,0,0,0,1,0,0
Egipto,2,0,0,0,0,0,0,0,0,0,2,0,0
Suiza,2,0,0,0,0,0,0,1,1,0,0,0,0
Andorra,2,0,0,0,0,0,0,0,0,2,0,0,0
Filipinas,2,0,1,0,0,0,0,0,1,0,0,0,0
Indonesia,2,0,0,0,0,0,0,1,1,0,0,0,0
Rusia,2,0,0,1,0,0,0,0,0,1,0,0,0
Australia,2,0,1,0,0,0,1,0,0,0,0,0,0
República Checa,1,0,0,0,0,0,0,0,0,0,1,0,0
El Salvador,1,0,0,0,0,0,0,0,1,0,0,0,0
Panamá,1,0,0,0,0,0,0,0,1,0,0,0,0
Bolivia,1,0,0,0,0,0,0,1,0,0,0,0,0
Costa Rica,1,0,0,0,0,0,0,0,1,0,0,0,0
Ukrania,1,0,0,1,0,0,0,0,0,0,0,0,0
Arabia Saudita,1,0,0,0,0,0,0,0,0,0,1,0,0
Canada,1,0,0,0,0,0,0,0,0,1,0,0,0
Estados Undos,1,0,0,0,1,0,0,0,0,0,0,0,0
Guatemala,1,0,0,0,0,0,0,0,1,0,0,0,0
Ucrania,1,0,0,0,1,0,0,0,0,0,0,0,0
Turquia,1,0,0,0,0,1,0,0,0,0,0,0,0
Emiratos Arabes unidos,1,0,0,0,0,0,0,0,0,0,1,0,0
Italia,1,0,0,0,0,0,0,0,0,0,0,0,1
Kuwait,1,0,0,0,0,0,0,1,0,0,0,0,0
India,1,0,0,0,0,0,0,0,0,0,0,0,1
Finlandia,1,0,0,0,0,0,0,0,1,0,0,0,0
Nicaragua,1,0,0,0,0,0,0,0,1,0,0,0,0
Brazil,1,0,0,0,0,0,0,0,1,0,0,0,0
Pakistan,1,0,0,0,0,0,0,0,0,0,0,0,1
Vietnam,1,0,0,0,0,0,0,0,0,0,0,1,0
x,0,0,0,0,0,0,0,0,0,0,0,0,0
