TournamentId,TournamentName,GameId,GameName,Location,CountryName,CountryCode,StartDate,EndDate,TotalUSDPrize,latitude,longitude,year,TournamentsByCountry,TournamentsByGame
60295,PiG Sty Festival 3.0,151,StarCraft II,Online,,,15/03/2023,19/03/2023,10000.0,,,2023.0,0,65
60309,GIRLGAMER Esports Festival 2023,164,League of Legends,"Manama, Bahrain",Bahrain,BH,16/03/2023,18/03/2023,15000.0,,,2023.0,1,7
60280,CCT North Europe Series #4,245,Counter-Strike: Global Offensive,Europe,,,01/03/2023,16/03/2023,50000.0,,,2023.0,0,27
60222,ESL Open Cup #166 Americas,151,StarCraft II,online,Spain,ES,13/03/2023,13/03/2023,400.0,40.2274328729,-3.65226540732,2023.0,46,65
60216,ESL Open Cup #166 Europe,151,StarCraft II,online,Spain,ES,13/03/2023,13/03/2023,400.0,40.2274328729,-3.65226540732,2023.0,46,65
60185,#PassionCraft Knockout,151,StarCraft II,Online,,,11/03/2023,12/03/2023,5000.0,,,2023.0,0,65
60219,ESL Open Cup #166 Korea,151,StarCraft II,online,Spain,ES,12/03/2023,12/03/2023,400.0,40.2274328729,-3.65226540732,2023.0,46,65
60186,GG-LAN #13,151,StarCraft II,"Brest, France",Lao People's Dem. Rep.,LA,11/03/2023,12/03/2023,159.0,18.5027254609,103.73756404,2023.0,3,65
60223,Berry CruncH Sub Tournament,151,StarCraft II,Online,,,11/03/2023,11/03/2023,1109.98,,,2023.0,0,65
60283,Elisa Invitational Winter 2023,245,Counter-Strike: Global Offensive,Online,,,16/01/2023,11/03/2023,25000.0,,,2023.0,0,27
60159,NorCal StarFest I,151,StarCraft II,"San Jose, CA",Canada,CA,11/03/2023,11/03/2023,1783.68,61.3765600742,-98.2945373672,2023.0,4,65
60157,WardiTV Korean Royale: Season 1 Qualifier #2,151,StarCraft II,Online,Tuvalu,TV,11/03/2023,11/03/2023,150.0,,,2023.0,10,65
60136,Korean Starcraft League #1,151,StarCraft II,Online,,,10/03/2023,10/03/2023,400.0,,,2023.0,0,65
60156,WardiTV Korean Royale: Season 1 Qualifier #1,151,StarCraft II,Online,Tuvalu,TV,10/03/2023,10/03/2023,150.0,,,2023.0,10,65
60158,PiG Sty Festival 3.0 (Hidden Name Tournament),151,StarCraft II,Online,,,09/03/2023,09/03/2023,600.0,,,2023.0,0,65
60020,CCT South Europe Series #3,245,Counter-Strike: Global Offensive,Europe,,,21/02/2023,07/03/2023,50000.0,,,2023.0,0,27
60221,ESL Open Cup #165 Americas,151,StarCraft II,online,Spain,ES,06/03/2023,06/03/2023,400.0,40.2274328729,-3.65226540732,2023.0,46,65
60215,ESL Open Cup #165 Europe,151,StarCraft II,online,Spain,ES,06/03/2023,06/03/2023,400.0,40.2274328729,-3.65226540732,2023.0,46,65
60218,ESL Open Cup #165 Korea,151,StarCraft II,online,Spain,ES,05/03/2023,05/03/2023,400.0,40.2274328729,-3.65226540732,2023.0,46,65
60155,LCK Academy Series 2023 March,164,League of Legends,Online,Saint Lucia,LC,26/02/2023,05/03/2023,2283.0,,,2023.0,2,7
60197,RLCS 2022-23 - Winter: NA Regional 3 - Winter Invitational,409,Rocket League,Online,Serbia and Montenegro,CS,03/03/2023,05/03/2023,100000.0,,,2023.0,19,54
60198,RLCS 2022-23 - Winter: OCE Regional 3 - Winter Invitational,409,Rocket League,Online,Serbia and Montenegro,CS,03/03/2023,05/03/2023,30000.0,,,2023.0,19,54
59933,WardiTV March Open,151,StarCraft II,Online,Tuvalu,TV,05/03/2023,05/03/2023,400.0,,,2023.0,10,65
59927,Afreeca World Invitational #100,151,StarCraft II,Online,,,04/03/2023,04/03/2023,200.0,,,2023.0,0,65
59942,Alpha X Pro Series - RagnaroK vs herO,151,StarCraft II,online,,,04/03/2023,04/03/2023,150.0,,,2023.0,0,65
60196,RLCS 2022-23 - Winter: MENA Regional 3 - Winter Invitational,409,Rocket League,Online,Montenegro,ME,02/03/2023,04/03/2023,30000.0,42.785696291,19.23871376,2023.0,8,54
60137,IntoTheAlphaX Pro Circuit 10,151,StarCraft II,Online,,,28/02/2023,03/03/2023,500.0,,,2023.0,0,65
60331,D7 Show Match: zen vs Vatira,409,Rocket League,Online,,,01/03/2023,01/03/2023,2135.03,,,2023.0,0,54
60170,Rocket Benelux Master Series 2023 - Winter: Regional 2,409,Rocket League,Online,,,20/02/2023,28/02/2023,911.8,,,2023.0,0,54
